@	inicio	varinicio	varfim	pt_v	id	int	real	lit	leia	escreva	literal	num	rcb	opm	se	ab_p	fc_p	entao	opr	fimse	fim	$
0	s2	e0		e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0	e0
1	e1	e1		e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	e1	acc
2	e2	s4		e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2	e2
3	e3	e3		e3	e3	s12	e3	e3	e3	s10	s11	e3	e3	e3	e3	s19	e3	e3	e3	e3	e3	s9	e3
4	e4	e4		s16	e4	s17	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4	e4
5	#	#		#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r2
6	e6	e6		e6	e6	s12	e6	e6	e6	s10	s11	e6	e6	e6	e6	s19	e6	e6	e6	e6	e6	s9	e6
7	e7	e7		e7	e7	s12	e7	e7	e7	s10	s11	e7	e7	e7	e7	s19	e7	e7	e7	e7	e7	s9	e7
8	e8	e8		e8	e8	s12	e8	e8	e8	s10	s11	e8	e8	e8	e8	s19	e8	e8	e8	e8	e8	s9	e8
9	#	#		#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r30
10	e10	e10		e10	e10	s22	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10	e10
11	e11	e11		e11	e11	s26	e11	e11	e11	e11	e11	s24	s25	e11	e11	e11	e11	e11	e11	e11	e11	e11	e11
12	e12	e12		e12	e12	e12	e12	e12	e12	e12	e12	e12	e12	s27	e12	e12	e12	e12	e12	e12	e12	e12	e12
13	e13	e13		e13	e13	s12	e13	e13	e13	s10	s11	e13	e13	e13	e13	s19	e13	e13	e13	e13	s58	e13	e13
14	#	#		#	#	r3	#	#	#	r3	r3	#	#	#	#	r3	#	#	#	#	#	r3	#
15	e15	e15		s16	e15	s17	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15	e15
16	e16	e16		e16	s34	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16	e16
17	e17	e17		e17	e17	e17	s36	s37	s38	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	e17	#
18	#	#		#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r10
19	e19	e19		e19	e19	e19	e19	e19	e19	e19	e19	e19	e19	e19	e19	e19	s32	e19	e19	e19	e19	e19	e19
20	#	#		#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r16
21	#	#		#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r22
22	e22	e22		e22	s39	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22	e22
23	e23	e23		e23	s40	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23	e23
24	#	#		#	r13	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
25	#	#		#	r14	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
26	#	#		#	r15	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
27	e27	e27		e27	e27	s43	e27	e27	e27	e27	e27	e27	s44	e27	e27	e27	e27	e27	e27	e27	e27	e27	e27
28	#	#		#	#	r23	#	#	#	r23	r23	#	#	#	#	r23	#	#	#	#	r23	r23	#
29	e29	e29		e29	e29	s12	e29	e29	e29	s10	s11	e29	e29	e29	e29	s19	e29	e29	e29	e29	s58	e29	e29
30	e30	e30		e30	e30	s12	e30	e30	e30	s10	s11	e30	e30	e30	e30	s19	e30	e30	e30	e30	s58	e30	e30
31	e31	e31		e31	e31	s12	e31	e31	e31	s10	s11	e31	e31	e31	e31	s19	e31	e31	e31	e31	s58	e31	e31
32	e32	e32		e32	e32	s43	e32	e32	e32	e32	e32	e32	s44	e32	e32	e32	e32	e32	e32	e32	e32	e32	e32
33	#	#		#	#	r4	#	#	#	r4	r4	#	#	#	#	r4	#	#	#	#	#	r4	#
34	#	#		#	#	r5	#	#	#	r5	r5	#	#	#	#	r5	#	#	#	#	#	r5	#
35	e35	e35		e35	s50	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35	e35
36	#	#		#	r7	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
37	#	#		#	r8	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
38	#	#		#	r9	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
39	#	#		#	#	r11	#	#	#	r11	r11	#	#	#	#	r11	#	#	#	#	r11	r11	#
40	#	#		#	#	r12	#	#	#	r12	r12	#	#	#	#	r12	#	#	#	#	r12	r12	#
41	e41	e41		e41	s51	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41	e41
42	#	#		#	r19	#	#	#	#	#	#	#	#	#	s52	#	#	#	#	#	#	#	#
43	#	#		#	r20	#	#	#	#	#	#	#	#	#	r20	#	#	r20	#	r20	#	#	#
44	#	#		#	r21	#	#	#	#	#	#	#	#	#	r21	#	#	r21	#	r21	#	#	#
45	#	#		#	#	r26	#	#	#	r26	r26	#	#	#	#	r26	#	#	#	#	r26	r26	#
46	#	#		#	#	r27	#	#	#	r27	r27	#	#	#	#	r27	#	#	#	#	r27	r27	#
47	#	#		#	#	r28	#	#	#	r28	r28	#	#	#	#	r28	#	#	#	#	r28	r28	#
48	e48	e48		e48	e48	e48	e48	e48	e48	e48	e48	e48	e48	e48	e48	e48	e48	s53	e48	e48	e48	e48	e48
49	e49	e49		e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	e49	s54	e49	e49	e49
50	#	#		r6	#	r6	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
51	#	#		#	#	r17	#	#	#	r17	r17	#	#	#	#	r17	#	#	#	#	r17	r17	#
52	e52	e52		e52	e52	s43	e52	e52	e52	e52	e52	e52	s44	e52	e52	e52	e52	e52	e52	e52	e52	e52	e52
53	e53	e53		e53	e53	e53	e53	e53	e53	e53	e53	e53	e53	e53	e53	e53	e53	e53	s56	e53	e53	e53	e53
54	e54	e54		e54	e54	s43	e54	e54	e54	e54	e54	e54	s44	e54	e54	e54	e54	e54	e54	e54	e54	e54	e54
55	#	#		#	r18	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
56	#	#		#	#	r24	#	#	#	r24	r24	#	#	#	#	r24	#	#	#	#	r24	#	#
57	#	#		#	#	#	#	#	#	#	#	#	#	#	#	#	#	r25	#	#	#	#	#
58	#	#		#	#	r29	#	#	#	r29	r29	#	#	#	#	r29	#	#	#	#	r29	r29	#
